GENEID,VIA,AB40,AB42
1,-0.293511677,0.509799083,0.063421219
2,-0.475129933,0.757599276,1.043316923
9,2.377759282,-1.213443729,-1.33048629
10,-0.679732748,-0.415496912,-0.230574096
12,0.505662562,0.191583755,0.569690918
13,3.0305155,-3.108675878,-3.862699737
14,4.230880349,-3.00439216,-2.810236003
16,0.754129753,0.650664129,1.335904466
18,-0.589396952,0.717945756,1.225950295
19,2.768778311,-1.369979175,-1.381350301
20,0.598696865,-1.800613122,-2.082895708
21,0.344504246,-1.828341226,-2.242770597
22,5.768804067,-2.050756172,-2.049696384
23,0.359241863,-1.709573568,-1.549136838
24,-1.141265998,0.755205442,0.281947581
25,0.891689928,0.085496879,0.074267974
27,-0.023747263,0.231419125,0.228671361
29,4.180495435,-2.427672415,-1.006580161
30,-2.358241803,0.735808754,-0.931651712
32,-0.376137432,0.716966594,0.866265373
33,0.470061572,-1.15486369,-1.811064178
34,0.162920289,-0.16716882,-0.06590401
36,-0.328678126,-0.111215719,-1.750890412
37,-1.394327889,0.766403405,-0.929128771
38,-0.137902461,1.633724558,1.313169569
39,1.027651524,0.079298925,-0.270838646
40,-0.320214128,-0.476690805,-0.155625632
47,1.124592107,-2.422785198,-1.986404535
48,-0.004796089,0.244820618,0.414109742
49,-0.223219505,-2.078177677,-3.237736384
50,-0.573826392,0.127393485,0.358171343
51,-0.67611133,0.168968014,0.214793799
52,0.986703519,-0.812850367,-0.047083334
53,-0.941098123,0.64165536,0.299542972
54,-1.509389763,1.696316097,1.881029219
55,-0.160800698,0.217671501,0.334509941
56,-0.667553885,0.969858115,0.300417654
60,0.670758397,-0.185252348,0.112579842
70,1.298265857,-0.728510567,-0.88475507
71,0.039836144,-0.632357125,-0.22642177
72,0.74334957,-0.182969061,0.513671053
81,-0.296986593,0.070391427,0.098492987
86,0.982955865,-0.292926415,-0.411772171
87,0.086575546,0.087274537,0.001021208
88,-0.286587861,0.287843214,0.383401164
89,0.917087048,0.436202924,0.748599645
90,0.466650997,0.276658177,0.20851309
91,1.464451031,-2.454695116,-2.755855394
92,-1.446335811,0.784689153,0.793412479
93,-0.374719264,0.171519317,-0.124406066
94,-1.240975938,1.131717782,1.514130245
95,0.110468584,0.195452793,0.769028975
97,-0.454821024,-1.254734673,-1.542191955
98,1.503378163,-0.655638578,-0.159669428
100,0.091802953,-1.090927106,-1.314730969
102,0.934800884,0.131892677,0.624969701
103,3.435808293,-1.319741187,-1.354425323
104,-0.033545868,0.325549917,0.172816574
107,2.704927555,-3.104820802,-2.573994021
108,-0.301639508,1.014243237,1.180117803
109,4.164701842,-3.136084268,-2.096976429
111,0.630439683,-0.201722802,-0.280187434
112,-1.21497565,1.406097673,0.901094028
113,0.024478424,0.279905236,1.091287937
114,2.149485901,-0.648592517,-0.24612529
115,-1.363605644,-0.815351071,-0.858113482
116,-1.292489087,1.145634853,0.945024292
117,-1.624224887,-0.089582488,-0.148559724
118,0.033903955,-0.449878977,-0.395449399
119,-1.344271511,-1.060157686,-1.220505314
120,1.471745951,-0.779718209,-0.767215033
123,-1.062100818,1.439775208,0.162020925
125,-0.20734946,0.657807379,1.143663384
126,0.594560992,0.02204307,0.88753261
127,-0.275281824,0.641142617,1.069614503
128,4.632164084,-3.590682423,-3.021584394
130,-0.082759099,0.860994715,0.81555026
131,-1.285563924,-1.401416675,-1.440699033
132,-0.667417438,0.529275285,0.48716187
133,-0.674767744,-0.333690734,-0.429984793
134,1.248710679,-0.851593243,-0.411554941
135,-0.82512094,1.01810323,0.437559909
136,-0.217596367,-0.931250779,-0.192069757
140,-0.19672877,0.270932112,0.223182835
141,-0.749518272,-0.573301336,-0.753115744
142,-0.993626264,-0.159767932,-0.306722181
143,0.132377182,0.221128283,0.134953509
148,-0.135040502,0.926313462,0.529260611
151,-0.267370861,0.172996711,0.749922276
154,0.390497968,-0.354121489,-0.307244595
156,-0.618126285,1.089869148,1.783075396
157,3.078302315,-1.379769301,-1.377927712
158,-0.173301439,0.245285597,0.241543601
159,-0.640922995,1.932294246,1.317556263
160,2.301940488,-0.812894016,-0.584501129
161,1.019414397,0.068015554,-0.224851937
162,0.012741128,0.188162789,0.236925108
163,0.147090095,-1.035951616,-1.218826887
164,0.505592231,0.078938417,-0.136092604
166,1.365896161,0.04566846,0.449091816
167,1.238763197,-0.446660534,-0.108413586
172,2.789689117,-2.114705128,-2.394040595
173,0.185274729,1.562502088,0.810508396
174,1.167979364,-0.580453124,-1.226456586
175,0.241401643,-0.573649542,-0.164664544
176,-0.641358786,0.042749762,0.539432367
177,0.757913139,-0.226637081,-0.18329577
178,-0.500295728,1.115605406,1.463724921
182,1.031020733,0.221271968,1.423791843
183,-0.317483204,-1.255196987,-1.594019378
185,-1.19547174,0.828289254,1.020421716
186,-1.506362889,-0.999591234,-1.046023585
190,-0.630109518,1.475819349,0.521258848
191,0.494647916,-2.034839479,-2.026185445
196,0.817644331,0.994734307,1.483832344
197,-0.125526688,0.104906543,0.162891453
199,-0.530457354,-0.942141774,-1.349940749
203,0.934800884,0.521166402,-0.450356259
204,-1.045949295,1.120257985,0.610099177
207,0.102324261,0.771483348,1.347570446
208,-1.364163275,-0.55063902,-0.493277411
210,1.250208954,-0.191100305,0.516243857
211,0.160602384,-1.408682218,-0.914306209
212,0.02336411,0.529701591,1.03240468
213,-0.594096349,-0.155519615,0.175053364
214,-1.165481589,1.159821359,0.757859154
215,-0.872868891,0.180988188,-0.028581769
216,1.228024131,-3.554323963,-3.413471256
217,1.150941402,-0.250959958,-0.021765453
