6927,55281,HNF1A,TMEM140
164,8906,AP1G1,AP1G2
3689,11082,ITGB2,ESM1
57326,151871,PBXIP1,DPPA2
5336,23236,PLCG2,PLCB1
9146,57596,HGS,BEGAIN
842,317,CASP9,APAF1
2203,3837,FBP1,KPNB1
8658,25913,TNKS,POT1
5985,5981,RFC5,RFC1
1477,10262,CSTF1,SF3B4
857,5337,CAV1,PLD1
3175,80185,ONECUT1,TTI2
3265,3630,HRAS,INS
6143,7311,RPL19,UBA52
6426,8899,SRSF1,PRPF4B
6165,6189,RPL35A,RPS3A
7533,10499,YWHAH,NCOA2
586,26505,BCAT1,CNNM3
6159,6191,RPL29,RPS4X
6123,29927,RPL3L,SEC61A1
3554,3656,IL1R1,IRAK2
5432,6924,POLR2C,ELOA
8891,8894,EIF2B3,EIF2S2
3105,3812,HLA-A,KIR3DL2
6778,7297,STAT6,TYK2
4831,440275,NME2,EIF2AK4
5991,222546,RFX3,RFX6
6155,6158,RPL27,RPL28
7534,994,YWHAZ,CDC25B
59307,7100,SIGIRR,TLR5
6193,6829,RPS5,SUPT5H
7088,639,TLE1,PRDM1
3172,50,HNF4A,ACO2
10250,988,SRRM1,CDC5L
5721,10379,PSME2,IRF9
4090,6626,SMAD5,SNRPA
827,388743,CAPN6,CAPN8
4197,4330,,MN1
667,1308,DST,COL17A1
6136,6144,RPL12,RPL21
940,3683,CD28,ITGAL
10295,23475,BCKDK,QPRT
5580,8754,PRKCD,ADAM9
1737,60626,DLAT,RIC8A
6161,6170,RPL32,RPL39
3455,3716,IFNAR2,JAK1
58484,8915,NLRC4,BCL10
23028,9094,KDM1A,UNC119
164656,2335,TMPRSS6,FN1
8379,4085,MAD1L1,MAD2L1
23435,30818,TARDBP,KCNIP3
9282,9441,MED14,MED26
257218,55294,SHPRH,FBXW7
55591,1495,VEZT,CTNNA1
94120,5873,SYTL3,RAB27A
3172,11331,HNF4A,PHB2
5156,2885,PDGFRA,GRB2
5684,5711,PSMA3,PSMD5
835,1639,CASP2,DCTN1
6154,55176,RPL26,SEC61A2
9133,993,CCNB2,CDC25A
6617,171568,SNAPC1,POLR3H
4088,10691,SMAD3,GMEB1
1018,1022,CDK3,CDK7
650,654,BMP2,BMP6
79159,54977,NOL12,SLC25A38
5430,130672,POLR2A,
23164,57120,MPRIP,GOPC
10254,23368,STAM2,PPP1R13B
5684,7316,PSMA3,UBC
5997,5579,RGS2,PRKCB
23246,26354,BOP1,GNL3
3267,5864,AGFG1,RAB3A
10302,171568,SNAPC5,POLR3H
3190,7307,HNRNPK,U2AF1
9276,1315,COPB2,COPB1
4301,6016,AFDN,RIT1
3921,6227,RPSA,RPS21
672,2064,BRCA1,ERBB2
55872,57562,PBK,CEP126
6210,6164,RPS15A,RPL34
10945,55738,KDELR1,ARFGAP1
6139,116832,RPL17,RPL39L
551,553,AVP,AVPR1B
84875,121504,PARP10,H4-16
84844,5725,PHF5A,PTBP1
7083,84060,TK1,RBM48
3929,5360,LBP,PLTP
10181,3192,RBM5,HNRNPU
10392,842,NOD1,CASP9
24148,29894,PRPF6,CPSF1
1915,9349,EEF1A1,RPL23
3329,1665,HSPD1,DHX15
7430,999,EZR,CDH1
5050,2547,PAFAH1B3,XRCC6
6628,10421,SNRPB,CD2BP2
5195,3065,PEX14,HDAC1
316,2237,AOX1,FEN1
1938,6192,EEF2,RPS4Y1
7015,7011,TERT,TEP1
11030,54472,RBPMS,TOLLIP
801,6640,CALM1,SNTA1
3930,26993,LBR,AKAP8L
6478,5450,SIAH2,POU2AF1
857,2697,CAV1,GJA1
801,799,CALM1,CALCR
818,6236,CAMK2G,RRAD
6311,7514,ATXN2,XPO1
3172,54496,HNF4A,PRMT7
2521,6628,FUS,SNRPB
6207,6227,RPS13,RPS21
1000,1003,CDH2,CDH5
1742,4035,DLG4,LRP1
10120,1107,ACTR1B,CHD3
3662,7186,IRF4,TRAF2
6633,6626,SNRPD2,SNRPA
7040,7448,TGFB1,VTN
2192,6320,FBLN1,CLEC11A
920,8945,CD4,BTRC
3172,55353,HNF4A,LAPTM4B
8487,442775,GEMIN2,RAC1P2
2967,4331,GTF2H3,MNAT1
6632,10949,SNRPD1,HNRNPA0
4809,23450,SNU13,SF3B3
1807,56896,DPYS,DPYSL5
916,6955,CD3E,TRA
627,2668,BDNF,GDNF
10002,5914,NR2E3,RARA
4361,2956,MRE11,MSH6
2957,2963,GTF2A1,GTF2F2
2629,3609,GBA,ILF3
29997,64145,NOP53,RBSN
5332,7443,PLCB4,VRK1
6133,6155,RPL9,RPL27
8607,10933,RUVBL1,MORF4L1
3172,6155,HNF4A,RPL27
9612,23411,NCOR2,SIRT1
79813,196743,EHMT1,PAOX
5682,5707,PSMA1,PSMD1
84988,55661,PPP1R16A,DDX27
23521,3646,RPL13A,EIF3E
3169,11052,FOXA1,CPSF6
7399,1285,USH2A,COL4A3
5111,5422,PCNA,POLA1
920,933,CD4,CD22
516,521,ATP5MC1,ATP5ME
6429,23020,SRSF4,SNRNP200
5432,10907,POLR2C,TXNL4A
5707,7316,PSMD1,UBC
5909,673,RAP1GAP,BRAF
324,22919,APC,MAPRE1
201288,645740,NOS2P2,NOS2P1
2673,5213,GFPT1,PFKM
2961,2967,GTF2E2,GTF2H3
5717,5718,PSMD11,PSMD12
5154,5155,PDGFA,PDGFB
4998,5708,ORC1,PSMD2
10611,79869,PDLIM5,CPSF7
1499,999,CTNNB1,CDH1
9669,9349,EIF5B,RPL23
1635,84708,DCTD,LNX1
3836,4329,KPNA1,ALDH6A1
84164,22938,ASCC2,SNW1
6146,6234,RPL22,RPS28
9770,3845,RASSF2,KRAS
7324,7337,UBE2E1,UBE3A
5055,5329,SERPINB2,PLAUR
4654,4656,MYOD1,MYOG
1991,2006,ELANE,ELN
1453,5888,CSNK1D,RAD51
2213,4061,FCGR2B,LY6E
4172,29935,MCM3,RPA4
587,83940,BCAT2,TATDN1
4654,8048,MYOD1,CSRP3
80351,2888,TNKS2,GRB14
1499,1739,CTNNB1,DLG1
3172,2921,HNF4A,CXCL3
3853,3854,KRT6A,KRT6B
4582,1956,MUC1,EGFR
3326,11338,HSP90AB1,U2AF2
3241,7447,HPCAL1,VSNL1
23028,2969,KDM1A,GTF2I
1027,6502,CDKN1B,SKP2
23028,55758,KDM1A,RCOR3
5424,57804,POLD1,POLD4
5626,8022,PROP1,LHX3
3660,4790,IRF2,NFKB1
6223,6123,RPS19,RPL3L
2874,10014,GPS2,HDAC5
6154,6173,RPL26,RPL36A
6749,2963,SSRP1,GTF2F2
4099,1280,MAG,COL2A1
1763,6118,DNA2,RPA2
5359,10342,PLSCR1,TFG
10203,27297,CALCRL,CRCP
5573,79666,PRKAR1A,PLEKHF2
5094,6626,PCBP2,SNRPA
4323,7078,MMP14,TIMP3
6205,140801,RPS11,RPL10L
54475,55153,NLE1,SDAD1
4314,64386,MMP3,MMP25
2249,2250,FGF4,FGF5
10567,79666,RABAC1,PLEKHF2
6280,6281,S100A9,S100A10
2690,2887,GHR,GRB10
23019,4850,CNOT1,CNOT4
4647,10083,MYO7A,USH1C
6881,6875,TAF10,TAF4B
5931,8661,RBBP7,EIF3A
5091,8884,PC,SLC5A6
7428,55662,VHL,HIF1AN
5440,7702,POLR2K,ZNF143
84988,79187,PPP1R16A,FSD1
5576,23239,PRKAR2A,PHLPP1
5580,10399,PRKCD,RACK1
5516,9322,PPP2CB,TRIP10
1660,10236,DHX9,HNRNPR
5515,54874,PPP2CA,FNBP1L
6188,6123,RPS3,RPL3L
7057,1511,THBS1,CTSG
57761,207,TRIB3,AKT1
3172,325,HNF4A,APCS
81488,6130,POLR2M,RPL7A
3175,113130,ONECUT1,CDCA5
1316,9314,KLF6,KLF4
4677,54675,NARS1,CRLS1
5013,83755,OTX1,KRTAP4-12
4619,133686,MYH1,NADK2
5707,7311,PSMD1,UBA52
435,4953,ASL,ODC1
5330,54822,PLCB2,TRPM7
4739,4087,NEDD9,SMAD2
4172,6117,MCM3,RPA1
10728,405,PTGES3,ARNT
1392,3643,CRH,INSR
9265,57658,CYTH3,CALCOCO1
86,8295,ACTL6A,TRRAP
5601,7186,MAPK9,TRAF2
11018,9173,TMED1,IL1RL1
7187,8784,TRAF3,TNFRSF18
6430,6633,SRSF5,SNRPD2
3932,356,LCK,FASLG
1839,2247,HBEGF,FGF2
1660,5433,DHX9,POLR2D
10280,3710,SIGMAR1,ITPR3
259215,2886,LY6G6F,GRB7
841,9994,CASP8,CASP8AP2
1080,5581,CFTR,PRKCE
4950,7525,,YES1
3172,29086,HNF4A,BABAM1
716,27109,C1S,DMAC2L
3689,2526,ITGB2,FUT4
1230,6360,CCR1,CCL16
1938,6156,EEF2,RPL30
5045,4853,FURIN,NOTCH2
9054,10555,NFS1,AGPAT2
10006,6709,ABI1,SPTAN1
6201,7458,RPS7,EIF4H
7106,975,TSPAN4,CD81
30837,5335,SOCS7,PLCG1
81,2885,ACTN4,GRB2
23397,822,NCAPH,CAPG
5747,6850,PTK2,SYK
84248,7102,FYTTD1,TSPAN7
6217,6170,RPS16,RPL39
7572,84060,ZNF24,RBM48
6164,9045,RPL34,RPL14
5725,3183,PTBP1,HNRNPC
10540,23299,DCTN2,BICD2
89,2438,ACTN3,
1855,22938,DVL1,SNW1
5434,10622,POLR2E,POLR3G
940,3684,CD28,ITGAM
5439,6232,POLR2J,RPS27
5705,8013,PSMC5,NR4A3
1263,11200,PLK3,CHEK2
2673,5709,GFPT1,PSMD3
6736,7490,SRY,WT1
6224,1975,RPS20,EIF4B
658,1019,BMPR1B,CDK4
1660,6430,DHX9,SRSF5
1616,7329,DAXX,UBE2I
999,130672,CDH1,
8602,65083,NOP14,NOL6
2782,55970,GNB1,GNG12
2048,5594,EPHB2,MAPK1
7490,7157,WT1,TP53
2771,2773,GNAI2,GNAI3
10399,5976,RACK1,UPF1
321,22883,APBA2,CLSTN1
3960,149986,LGALS4,LSM14B
6193,51121,RPS5,RPL26L1
