identifier,symbol
10010,TANK
10024,TROAP
10026,PIGK
100534599,ISY1-RAB43
10075,HUWE1
10078,TSSC4
10133,OPTN
10146,G3BP1
10168,ZNF197
10189,ALYREF
10200,MPHOSPH6
10204,NUTF2
10241,CALCOCO2
10253,SPRY2
1027,CDKN1B
102724652,LOC102724652
10273,STUB1
10287,RGS19
10293,TRAIP
10294,DNAJA2
10308,ZNF267
10309,CCNO
10313,RTN3
10385,BTN2A2
103910,MYL12B
10398,MYL9
10413,YAP1
10419,PRMT5
10423,CDIPT
10424,PGRMC2
1047,CLGN
10477,UBE2E3
10480,EIF3M
10482,NXF1
10488,CREB3
10498,CARM1
10513,APPBP2
10529,NEBL
10542,LAMTOR5
10551,AGR2
10573,MRPL28
10618,TGOLN2
10623,POLR3C
10627,MYL12A
10636,RGS14
10642,IGF2BP1
10657,KHDRBS1
10664,CTCF
10667,FARS2
10668,CGRRF1
10682,EBP
1070,CETN3
10713,USP39
10728,PTGES3
10746,MAP3K2
10747,MASP2
10758,TRAF3IP2
10783,NEK6
1080,CFTR
10811,NOXA1
10841,FTCD
10857,PGRMC1
10892,MALT1
10912,GADD45G
10927,SPIN1
10938,EHD1
10946,SF3A3
10951,CBX1
10971,YWHAQ
10980,COPS6
11035,RIPK3
11043,MID2
11059,WWP1
11063,SOX30
11069,RAPGEF4
1107,CHD3
11072,DUSP14
11074,TRIM31
11077,HSF2BP
11098,PRSS23
11100,HNRNPUL1
11112,HIBADH
11136,SLC7A9
1114,CHGB
11140,CDC37
11146,GLMN
11149,POPDC1
11170,FAM107A
11277,TREX1
11329,STK38
11340,EXOSC8
113802,HENMT1
114327,EFHC1
1147,CHUK
114883,OSBPL9
115,ADCY9
116349,EXOC3-AS1
116835,HSPA12B
116988,AGAP3
117144,CATSPER1
117166,WFIKKN1
117283,IP6K3
1173,AP2M1
1175,AP2S1
1182,CLCN3
118424,UBE2J2
118427,OLFM3
118738,ZNF488
119016,AGAP4
1196,CLK2
1198,CLK3
120,ADD3
120379,PIH1D2
120892,LRRK2
121355,GTSF1
122060,SLAIN1
122258,SPACA7
122786,FRMD6
124359,CDYL2
125115,KRT40
125488,TTC39C
126353,MISP
127544,RNF19B
127665,ZNF648
128178,EDARADD
128553,TSHZ2
129852,CIMIP6
131450,CD200R1
131616,TMEM42
131831,ERICH6
134218,DNAJC21
134391,GPR151
135892,TRIM50
137209,ZNF572
1398,CRK
140290,TCP10L
140461,ASB8
140606,SELENOM
140689,CBLN4
1407,CRY1
1408,CRY2
140807,KRT72
140831,ZSWIM3
1409,CRYAA
1410,CRYAB
1412,CRYBA2
1415,CRYBB2
1431,CS
143884,CWF19L2
144406,CFAP251
1447,CSN2
145483,FAM161B
1457,CSNK2A1
146542,ZNF688
1468,SLC25A10
146852,ODF4
147687,ZNF417
147719,LYPD4
147872,KASH5
148022,TICAM1
148398,SAMD11
148534,TLCD4
149018,LELP1
1499,CTNNB1
150248,C22orf15
150290,DUSP18
150771,ITPRIPL1
151254,C2CD6
152110,NEK10
152926,PPM1K
1534,CYB561
153527,ZMAT2
154,ADRB2
1540,CYLD
154865,IQUB
154881,KCTD7
157,GRK3
