gene_id,evidence,go_id
100423062,HDA,GO:0070062
100423062,IBA,GO:0016064
100423062,IBA,GO:0071735
100423062,IBA,GO:0003823
10273,IBA,GO:0000209
10273,IBA,GO:0006515
10273,IBA,GO:0043161
10273,IBA,GO:0045862
10273,IBA,GO:0071218
10273,IBA,GO:0005737
10273,IBA,GO:0030018
10273,IDA,GO:0000209
10273,IDA,GO:0006513
10273,IDA,GO:0006515
10273,IDA,GO:0016567
10273,IDA,GO:0031398
10273,IDA,GO:0031647
10273,IDA,GO:0031943
10273,IDA,GO:0032436
10273,IDA,GO:0043161
10273,IDA,GO:0050821
10273,IDA,GO:0051865
10273,IDA,GO:0070534
10273,IDA,GO:0071218
10273,IDA,GO:0090035
10273,IDA,GO:0000151
10273,IDA,GO:0005634
10273,IDA,GO:0005654
10273,IDA,GO:0005737
10273,IDA,GO:0005783
10273,IDA,GO:0005829
10273,IDA,GO:0042405
10273,IDA,GO:0004842
10273,IDA,GO:0030911
10273,IDA,GO:0051787
10273,IDA,GO:0051879
10273,IDA,GO:0061630
10273,IEA,GO:0006281
10273,IEA,GO:0010614
10273,IEA,GO:0030968
10273,IEA,GO:1904694
10273,IGI,GO:0061630
10273,IMP,GO:0000209
10273,IMP,GO:0006511
10273,IMP,GO:0016567
10273,IMP,GO:0030512
10273,IMP,GO:0034392
10273,IMP,GO:0036503
10273,IMP,GO:0043161
10273,IMP,GO:0045862
10273,IMP,GO:1904294
10273,IMP,GO:0004842
10273,IMP,GO:0061630
10273,IPI,GO:0101031
10273,IPI,GO:0001664
10273,IPI,GO:0005515
10273,IPI,GO:0019899
10273,IPI,GO:0019900
10273,IPI,GO:0030544
10273,IPI,GO:0031072
10273,IPI,GO:0031625
10273,IPI,GO:0042803
10273,IPI,GO:0046332
10273,IPI,GO:0051087
10273,IPI,GO:0070412
10273,ISS,GO:0000165
10273,ISS,GO:0006511
10273,ISS,GO:0034392
10273,ISS,GO:0034393
10273,ISS,GO:0035359
10273,ISS,GO:1901526
10273,ISS,GO:0005737
10273,ISS,GO:0005739
10273,ISS,GO:0034450
10273,NAS,GO:0048156
10273,TAS,GO:0030512
10273,TAS,GO:0038128
10273,TAS,GO:0043161
10273,TAS,GO:0005829
10273,TAS,GO:0031371
10273,TAS,GO:0004842
10273,TAS,GO:0030674
10273,TAS,GO:0061630
10294,HDA,GO:0070062
10294,IBA,GO:0042026
10294,IBA,GO:0005737
10294,IBA,GO:0005829
10294,IDA,GO:0042026
10294,IDA,GO:0005829
10294,IDA,GO:0001671
10294,IDA,GO:0051082
10294,IEA,GO:0009408
10294,IEA,GO:0016020
10294,IEA,GO:0005524
10294,IEA,GO:0008270
10294,IEA,GO:0030544
10294,IPI,GO:0005515
10294,IPI,GO:0051087
10294,TAS,GO:0008284
10294,TAS,GO:0005829
10394,HDA,GO:0062023
10394,HDA,GO:0030021
10394,IDA,GO:0001694
10394,IDA,GO:0017148
10394,IDA,GO:0019370
10394,IDA,GO:0032757
10394,IDA,GO:0042119
10394,IDA,GO:0042554
10394,IDA,GO:0045575
10394,IEA,GO:0006955
10394,IEA,GO:0030246
10394,RCA,GO:0030021
10394,TAS,GO:0005576
10394,TAS,GO:0035580
10394,TAS,GO:1904724
10423,HDA,GO:0016020
10423,IBA,GO:0006661
10423,IBA,GO:0005794
10423,IBA,GO:0003881
10423,IDA,GO:0006661
10423,IDA,GO:0016020
10423,IDA,GO:0003881
10423,IEA,GO:0005886
10423,IEA,GO:0046872
10423,IPI,GO:0005515
10423,TAS,GO:0005789
1047,IBA,GO:0006457
1047,IBA,GO:0036503
1047,IBA,GO:0005789
1047,IBA,GO:0005509
1047,IEA,GO:0007339
1047,IEA,GO:0065003
1047,IEA,GO:0005635
1047,IEA,GO:0044183
1047,IEA,GO:0051082
1047,TAS,GO:0007338
1047,TAS,GO:0005783
10482,HDA,GO:0003723
10482,IBA,GO:0016973
10482,IBA,GO:0005634
10482,IBA,GO:0003723
10482,IDA,GO:0006406
10482,IDA,GO:0000346
10482,IDA,GO:0005634
10482,IDA,GO:0005654
10482,IDA,GO:0005737
10482,IDA,GO:0016607
10482,IEA,GO:0015031
10482,IEA,GO:0005643
10482,IEA,GO:0010494
10482,IEA,GO:0042405
10482,IEA,GO:0003729
10482,IPI,GO:0042272
10482,IPI,GO:0005515
10482,ISS,GO:0006406
10482,ISS,GO:0005634
10482,TAS,GO:0005654
10482,TAS,GO:0005829
10618,IBA,GO:0005768
10618,IBA,GO:0005802
10618,IBA,GO:0030140
10618,IDA,GO:0005654
10618,IDA,GO:0005794
10618,IDA,GO:0005802
10618,IPI,GO:0005515
10618,TAS,GO:0005788
10618,TAS,GO:0005886
10618,TAS,GO:0030133
10618,TAS,GO:0030669
10857,HDA,GO:0016020
10857,IBA,GO:0005783
10857,IBA,GO:0012505
10857,IBA,GO:0016020
10857,IDA,GO:0006783
10857,IDA,GO:0020037
10857,IDA,GO:0042803
10857,IEA,GO:0005576
10857,IEA,GO:0030868
10857,IEA,GO:0005496
10857,IEA,GO:0046872
10857,IMP,GO:0140077
10857,IMP,GO:1903078
10857,IPI,GO:0005515
10857,ISS,GO:0005741
10857,ISS,GO:0043005
10857,ISS,GO:0043025
10857,ISS,GO:0044297
10857,ISS,GO:0045202
10857,TAS,GO:0005783
10857,TAS,GO:0005886
10857,TAS,GO:0035579
10857,TAS,GO:0001540
10857,TAS,GO:0020037
11248,IBA,GO:0005102
11248,IEA,GO:0005576
11248,NAS,GO:0007218
140689,HDA,GO:0062023
140689,IBA,GO:0045202
140689,IEA,GO:0009306
140689,IEA,GO:0099550
140689,IEA,GO:0005615
140689,IEA,GO:0043083
140689,IEA,GO:0098978
140689,ISS,GO:1904862
140689,ISS,GO:0005576
140689,ISS,GO:0098982
1468,EXP,GO:0005310
1468,HDA,GO:0005634
1468,HTP,GO:0005739
1468,IBA,GO:0015709
1468,IBA,GO:0015729
1468,IBA,GO:0035435
1468,IBA,GO:0071422
1468,IBA,GO:0071423
1468,IBA,GO:1902358
1468,IBA,GO:0015116
1468,IBA,GO:0015117
1468,IBA,GO:0015131
1468,IBA,GO:0015140
1468,IBA,GO:0015141
1468,IDA,GO:0005654
1468,IDA,GO:0005739
1468,IEA,GO:0006869
1468,IEA,GO:0046166
1468,IEA,GO:1902356
1468,IEA,GO:0005315
1468,IEA,GO:0015297
1468,IPI,GO:0005515
1468,TAS,GO:0006094
1468,TAS,GO:0006811
1468,TAS,GO:0006835
1468,TAS,GO:0070221
1468,TAS,GO:0005743
1468,TAS,GO:0005310
147719,IBA,GO:0044853
147719,IEA,GO:0098552
147719,TAS,GO:0005576
147719,TAS,GO:0005886
170482,IBA,GO:0061760
170482,IBA,GO:0009897
170482,IBA,GO:0030246
170482,IBA,GO:0038187
170482,IEA,GO:0002250
170482,IEA,GO:0046872
170482,IPI,GO:0005515
170482,TAS,GO:0005886
170482,TAS,GO:0030667
170482,TAS,GO:0070821
170482,TAS,GO:0101003
1774,IBA,GO:0006308
1774,IBA,GO:0005634
1774,IBA,GO:0003677
1774,IBA,GO:0004530
1774,IDA,GO:0005783
1774,IPI,GO:0005515
1774,TAS,GO:0006259
1774,TAS,GO:0005576
1774,TAS,GO:0035580
1774,TAS,GO:0004536
1908,IBA,GO:0003100
1908,IBA,GO:0006874
1908,IBA,GO:0014826
1908,IBA,GO:0045987
1908,IBA,GO:0005615
1908,IBA,GO:0005179
1908,IDA,GO:0002690
1908,IDA,GO:0003100
1908,IDA,GO:0007166
1908,IDA,GO:0008284
1908,IDA,GO:0010460
1908,IDA,GO:0014824
1908,IDA,GO:0014826
1908,IDA,GO:0030072
1908,IDA,GO:0030593
1908,IDA,GO:0042310
1908,IDA,GO:0043406
1908,IDA,GO:0045840
1908,IDA,GO:0046887
1908,IDA,GO:0005615
1908,IDA,GO:0005179
1908,IEA,GO:0001755
1908,IEA,GO:0007411
1908,IEA,GO:0008283
1908,IEA,GO:0010961
1908,IEA,GO:0019229
1908,IEA,GO:0030318
1908,IEA,GO:0048070
1908,IEA,GO:0048675
1908,IEA,GO:0051649
1908,IEA,GO:0071805
1908,IEA,GO:1901381
1908,IGI,GO:0010468
1908,IGI,GO:0045597
1908,IPI,GO:0031708
1908,TAS,GO:0007165
1908,TAS,GO:0007267
1908,TAS,GO:0008015
1908,TAS,GO:0005576
1908,TAS,GO:0005102
2045,IBA,GO:0007411
2045,IBA,GO:0048013
2045,IBA,GO:0005886
2045,IBA,GO:0030425
2045,IBA,GO:0005005
2045,IDA,GO:0048013
2045,IDA,GO:0050730
2045,IDA,GO:0070372
2045,IDA,GO:0005886
2045,IEA,GO:0007173
2045,IEA,GO:0008286
