pathway_id,pathway_name
R-HSA-1227986,Signaling by ERBB2
R-HSA-1257604,PI3K/AKT Signaling
R-HSA-1280218,Adaptive Immune System
R-HSA-162582,Signaling Pathways
R-HSA-168256,Immune System
R-HSA-170834,Signaling by TGF-beta Receptor Complex
R-HSA-212436,Generic Transcription Pathway
R-HSA-2173788,Downregulation of TGF-beta receptor signaling
R-HSA-2173789,TGF-beta receptor signaling activates SMADs
R-HSA-5213460,RIPK1-mediated regulated necrosis
R-HSA-5218859,Regulated Necrosis
R-HSA-5357801,Programmed Cell Death
R-HSA-5357905,Regulation of TNFR1 signaling
R-HSA-5675482,Regulation of necroptotic cell death
R-HSA-6807070,PTEN Regulation
R-HSA-73857,RNA Polymerase II Transcription
R-HSA-73887,Death Receptor Signaling
R-HSA-74160,Gene expression (Transcription)
R-HSA-75893,TNF signaling
R-HSA-8863795,Downregulation of ERBB2 signaling
R-HSA-8878166,Transcriptional regulation by RUNX2
R-HSA-8939902,Regulation of RUNX2 expression and activity
R-HSA-8948751,Regulation of PTEN stability and activity
R-HSA-9006925,Intracellular signaling by second messengers
R-HSA-9006934,Signaling by Receptor Tyrosine Kinases
R-HSA-9006936,Signaling by TGFB family members
R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation
R-HSA-983169,Class I MHC mediated antigen processing & presentation
R-HSA-2262752,Cellular responses to stress
R-HSA-3371497,HSP90 chaperone cycle for SHRs
R-HSA-8953897,Cellular responses to stimuli
R-HSA-168249,Innate Immune System
R-HSA-6798695,Neutrophil degranulation
R-HSA-1430728,Metabolism
R-HSA-1483206,Glycerophospholipid biosynthesis
R-HSA-1483226,Synthesis of PI
R-HSA-1483257,Phospholipid metabolism
R-HSA-556833,Metabolism of lipids
R-HSA-159227,Transport of the SLBP independent Mature mRNA
R-HSA-159230,Transport of the SLBP Dependant Mature mRNA
R-HSA-159231,Transport of Mature mRNA Derived from an Intronless Transcript
R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts
R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript
R-HSA-72202,Transport of Mature Transcript to Cytoplasm
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA
R-HSA-8953854,Metabolism of RNA
R-HSA-199991,Membrane Trafficking
R-HSA-199992,trans-Golgi Network Vesicle Budding
R-HSA-381426,Regulation of IGF Activity by IGFBP
R-HSA-392499,Metabolism of proteins
R-HSA-432722,Golgi Associated Vesicle Biogenesis
R-HSA-5653656,Vesicle-mediated transport
R-HSA-597592,Post-translational protein modification
R-HSA-6811440,Retrograde transport at the Trans-Golgi-Network
R-HSA-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic
R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis
R-HSA-8856828,Clathrin-mediated endocytosis
R-HSA-8957275,Post-translational protein phosphorylation
R-HSA-1614517,Sulfide oxidation to sulfate
R-HSA-1614558,Degradation of cysteine and homocysteine
R-HSA-1614635,Sulfur amino acid metabolism
R-HSA-382551,Transport of small molecules
R-HSA-425393,Transport of inorganic cations/anions and amino acids/oligopeptides
R-HSA-425407,SLC-mediated transmembrane transport
R-HSA-428643,Organic anion transporters
R-HSA-71291,Amino acid and derivative metabolism
R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins
R-HSA-5621480,Dectin-2 family
R-HSA-5621481,C-type lectin receptors (CLRs)
R-HSA-1266738,Developmental Biology
R-HSA-372790,Signaling by GPCR
R-HSA-373076,Class A/1 (Rhodopsin-like receptors)
R-HSA-375276,Peptide ligand-binding receptors
R-HSA-388396,GPCR downstream signalling
R-HSA-416476,G alpha (q) signalling events
R-HSA-500792,GPCR ligand binding
R-HSA-9730414,MITF-M-regulated melanocyte development
R-HSA-9856649,Transcriptional and post-translational regulation of MITF-M expression and activity
R-HSA-2682334,EPH-Ephrin signaling
R-HSA-3928665,EPH-ephrin mediated repulsion of cells
R-HSA-422475,Axon guidance
R-HSA-9675108,Nervous system development
R-HSA-977225,Amyloid fiber formation
R-HSA-6811438,Intra-Golgi traffic
R-HSA-174824,Lipoprotein metabolism
R-HSA-8866427,VLDLR internalisation and degradation
R-HSA-8964038,LDL clearance
R-HSA-8964043,Plasma lipoprotein clearance
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
R-HSA-194315,Signaling by Rho GTPases
R-HSA-8980692,RHOA GTPase cycle
R-HSA-9012999,RHO GTPase cycle
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
