geneA_id,geneA_symbol,geneB_id,geneB_symbol
10273,STUB1,10419,PRMT5
10273,STUB1,10477,UBE2E3
10273,STUB1,10657,KHDRBS1
10273,STUB1,10746,MAP3K2
10273,STUB1,1080,CFTR
10273,STUB1,118427,OLFM3
10273,STUB1,120892,LRRK2
10273,STUB1,1499,CTNNB1
10273,STUB1,1576,CYP3A4
10273,STUB1,1612,DAPK1
10273,STUB1,161582,DNAAF4
10273,STUB1,1728,NQO1
10273,STUB1,1956,EGFR
10273,STUB1,196,AHR
10273,STUB1,2064,ERBB2
10273,STUB1,2099,ESR1
10273,STUB1,22983,MAST1
10273,STUB1,23381,SMG5
10273,STUB1,23623,RUSC1
10273,STUB1,25,ABL1
10273,STUB1,25828,TXN2
10273,STUB1,25913,POT1
10273,STUB1,26575,RGS17
10273,STUB1,2908,NR3C1
10273,STUB1,30811,HUNK
10273,STUB1,3091,HIF1A
10273,STUB1,3297,HSF1
10273,STUB1,3303,HSPA1A
10273,STUB1,3304,HSPA1B
10273,STUB1,3308,HSPA4
10273,STUB1,3312,HSPA8
10273,STUB1,3315,HSPB1
10273,STUB1,3320,HSP90AA1
10273,STUB1,3326,HSP90AB1
10273,STUB1,3643,INSR
10273,STUB1,3659,IRF1
10273,STUB1,367,AR
10273,STUB1,4086,SMAD1
10273,STUB1,4088,SMAD3
10273,STUB1,4137,MAPT
10273,STUB1,4286,MITF
10273,STUB1,4287,ATXN3
10273,STUB1,4354,MPP1
10273,STUB1,4609,MYC
10273,STUB1,4842,NOS1
10273,STUB1,5036,PA2G4
10273,STUB1,5071,PRKN
10273,STUB1,50943,FOXP3
10273,STUB1,51548,SIRT6
10273,STUB1,5216,PFN1
10273,STUB1,5315,PKM
10273,STUB1,5460,POU5F1
10273,STUB1,5468,PPARG
10273,STUB1,55284,UBE2W
10273,STUB1,55585,UBE2Q1
10273,STUB1,5566,PRKACA
10273,STUB1,56477,CCL28
10273,STUB1,5707,PSMD1
10273,STUB1,5708,PSMD2
10273,STUB1,5710,PSMD4
10273,STUB1,5728,PTEN
10273,STUB1,573,BAG1
10273,STUB1,5894,RAF1
10273,STUB1,6310,ATXN1
10273,STUB1,65057,ACD
10273,STUB1,6622,SNCA
10273,STUB1,7013,TERF1
10273,STUB1,7157,TP53
10273,STUB1,7189,TRAF6
10273,STUB1,7316,UBC
10273,STUB1,7321,UBE2D1
10273,STUB1,7322,UBE2D2
10273,STUB1,7323,UBE2D3
10273,STUB1,7324,UBE2E1
10273,STUB1,7325,UBE2E2
10273,STUB1,7328,UBE2H
10273,STUB1,7332,UBE2L3
10273,STUB1,7334,UBE2N
10273,STUB1,7335,UBE2V1
10273,STUB1,7336,UBE2V2
10273,STUB1,7415,VCP
10273,STUB1,79705,LRRK1
10273,STUB1,79733,E2F8
10273,STUB1,8087,FXR1
10273,STUB1,85300,ATCAY
10273,STUB1,861,RUNX1
10273,STUB1,9258,MFHAS1
10273,STUB1,9529,BAG5
10273,STUB1,9532,BAG2
10294,DNAJA2,1826,DSCAM
10294,DNAJA2,3337,DNAJB1
10294,DNAJA2,6453,ITSN1
10294,DNAJA2,6993,DYNLT1
10294,DNAJA2,7316,UBC
10423,CDIPT,10313,RTN3
10423,CDIPT,10668,CGRRF1
10423,CDIPT,10682,EBP
10423,CDIPT,127544,RNF19B
10423,CDIPT,134391,GPR151
10423,CDIPT,146852,ODF4
10423,CDIPT,148534,TLCD4
10423,CDIPT,1534,CYB561
10423,CDIPT,162427,RETREG3
10423,CDIPT,1727,CYB5R3
10423,CDIPT,200232,FAM209A
10423,CDIPT,200894,ARL13B
10423,CDIPT,203547,VMA21
10423,CDIPT,2124,EVI2B
10423,CDIPT,219402,MTIF3
10423,CDIPT,2212,FCGR2A
10423,CDIPT,2705,GJB1
10423,CDIPT,285613,RELL2
