gene_id,pathway_id
10273,R-HSA-1227986
10273,R-HSA-1257604
10273,R-HSA-1280218
10273,R-HSA-162582
10273,R-HSA-168256
10273,R-HSA-170834
10273,R-HSA-212436
10273,R-HSA-2173788
10273,R-HSA-2173789
10273,R-HSA-5213460
10273,R-HSA-5218859
10273,R-HSA-5357801
10273,R-HSA-5357905
10273,R-HSA-5675482
10273,R-HSA-6807070
10273,R-HSA-73857
10273,R-HSA-73887
10273,R-HSA-74160
10273,R-HSA-75893
10273,R-HSA-8863795
10273,R-HSA-8878166
10273,R-HSA-8939902
10273,R-HSA-8948751
10273,R-HSA-9006925
10273,R-HSA-9006934
10273,R-HSA-9006936
10273,R-HSA-983168
10273,R-HSA-983169
10294,R-HSA-2262752
10294,R-HSA-3371497
10294,R-HSA-8953897
10394,R-HSA-168249
10394,R-HSA-168256
10394,R-HSA-6798695
10423,R-HSA-1430728
10423,R-HSA-1483206
10423,R-HSA-1483226
10423,R-HSA-1483257
10423,R-HSA-556833
10482,R-HSA-159227
10482,R-HSA-159230
10482,R-HSA-159231
10482,R-HSA-159234
10482,R-HSA-159236
10482,R-HSA-72202
10482,R-HSA-72203
10482,R-HSA-8953854
10618,R-HSA-199991
10618,R-HSA-199992
10618,R-HSA-381426
10618,R-HSA-392499
10618,R-HSA-432722
10618,R-HSA-5653656
10618,R-HSA-597592
10618,R-HSA-6811440
10618,R-HSA-6811442
10618,R-HSA-8856825
10618,R-HSA-8856828
10618,R-HSA-8957275
10857,R-HSA-168249
10857,R-HSA-168256
10857,R-HSA-6798695
1468,R-HSA-1430728
1468,R-HSA-1614517
1468,R-HSA-1614558
1468,R-HSA-1614635
1468,R-HSA-382551
1468,R-HSA-425393
1468,R-HSA-425407
1468,R-HSA-428643
1468,R-HSA-71291
147719,R-HSA-163125
147719,R-HSA-392499
147719,R-HSA-597592
170482,R-HSA-168249
170482,R-HSA-168256
170482,R-HSA-5621480
170482,R-HSA-5621481
170482,R-HSA-6798695
1774,R-HSA-168249
1774,R-HSA-168256
1774,R-HSA-6798695
1908,R-HSA-1266738
1908,R-HSA-162582
1908,R-HSA-372790
1908,R-HSA-373076
1908,R-HSA-375276
1908,R-HSA-388396
1908,R-HSA-416476
1908,R-HSA-500792
1908,R-HSA-9730414
1908,R-HSA-9856649
2045,R-HSA-1266738
2045,R-HSA-2682334
2045,R-HSA-3928665
2045,R-HSA-422475
2045,R-HSA-9675108
2215,R-HSA-163125
2215,R-HSA-168249
2215,R-HSA-168256
2215,R-HSA-392499
2215,R-HSA-597592
2215,R-HSA-6798695
23621,R-HSA-392499
23621,R-HSA-977225
250,R-HSA-199991
250,R-HSA-5653656
250,R-HSA-6811438
250,R-HSA-6811442
255738,R-HSA-174824
255738,R-HSA-381426
255738,R-HSA-382551
255738,R-HSA-392499
255738,R-HSA-597592
255738,R-HSA-8866427
255738,R-HSA-8957275
255738,R-HSA-8964038
255738,R-HSA-8964043
259197,R-HSA-1280218
259197,R-HSA-168256
259197,R-HSA-198933
25963,R-HSA-162582
25963,R-HSA-194315
